chr1	14830	14969	2	2	1	0	2	17
chr1	15039	15795	2	2	1	0	1	20
chr1	16766	16857	2	2	1	0	1	14
chr1	17743	17914	2	2	1	0	1	34
chr1	18062	18267	2	2	1	0	1	21
chr1	136513	136561	2	2	0	1	0	16
chr1	146510	155766	2	2	1	0	3	16
chr1	155832	164262	2	2	1	0	2	49
chr1	164506	164770	2	2	0	0	2	21
chr1	164792	165883	2	2	1	0	11	50
chr1	165943	168099	2	2	1	0	8	47
chr1	168166	169048	2	2	1	0	4	50
chr1	169265	172556	2	2	1	1	1	10
chr1	172689	173752	2	2	1	1	5	39
chr1	185351	185490	2	2	1	0	3	32
chr1	185560	186316	2	2	1	0	3	50
chr1	186470	187128	2	2	1	0	2	41
chr1	188267	188438	2	2	1	0	1	34
chr1	188585	188790	2	2	1	0	1	21
chr1	485209	489360	2	2	1	0	1	29
chr1	494899	494991	2	2	1	0	3	50
chr1	495050	495276	2	2	1	0	1	43
chr1	495569	498927	1	1	0	0	1	18
chr1	498306	498398	2	2	1	0	6	39
chr1	501621	502861	2	2	1	0	1	25
chr1	502244	502464	2	2	1	2	0	19
chr1	505104	514358	2	2	1	0	4	24
chr1	512610	514358	2	2	0	1	0	34
chr1	514424	517184	2	2	1	1	1	41
chr1	517267	522858	2	2	1	0	3	19
chr1	720201	724357	2	2	1	0	1	29
chr1	729618	736394	1	1	0	0	1	30
chr1	729805	733306	2	2	1	0	8	50
chr1	731690	735096	2	2	0	0	1	42
chr1	732208	732980	2	2	1	0	2	26
chr1	732208	733306	2	2	0	0	1	22
chr1	733027	736394	1	1	0	0	1	30
chr1	733365	735418	2	2	0	0	1	19
chr1	733365	735422	2	2	1	0	3	38
chr1	744826	746694	2	2	1	0	1	27
chr1	746819	749237	2	2	0	0	2	35
chr1	746819	756076	2	2	1	0	1	16
chr1	753853	756076	2	2	0	0	1	27
chr1	756142	758966	2	2	1	2	3	35
chr1	759124	764722	2	2	1	1	3	38
chr1	764966	765226	2	2	0	0	1	21
chr1	765248	766328	2	2	1	0	10	50
chr1	766388	768547	2	2	1	0	7	47
chr1	768614	769496	2	2	1	0	2	32
chr1	769713	772975	2	2	1	0	1	11
chr1	773108	774170	2	2	1	1	0	41
chr1	774281	805798	2	2	0	0	1	26
chr1	805892	808573	2	2	1	1	0	15
chr1	808624	808730	2	2	0	1	0	48
chr1	810171	817372	2	2	1	1	0	23
chr1	847807	849483	1	1	1	1	0	10
chr1	944801	945041	2	2	1	1	0	25
chr1	945147	945517	2	2	1	1	0	19
chr1	946546	948130	2	2	1	1	0	33
chr1	948233	948489	2	2	1	1	0	25
chr1	952601	953174	2	2	1	2	0	43
chr1	956216	956893	2	2	1	1	0	42
chr1	1211833	1211941	2	2	1	1	0	20
